Name;Symbol;RIC;Start Date;End Date;Hist.;End Date;Category;Market;Source;Frequency;Adjustment;Dataset;Forecast;End Year;Full Name;Activity
MERVAL STOCK MARKET INDEX;AGSHRPRCF;aARSHRPRCF;7/1/1993;3/31/2018;1993;Mar 2018;Economics;Argentina;Ministerio de Hacienda, Argentina;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2018;Argentina, Merval Stock Market Index, Index;Active
S&P/ASX 200 (METHODOLOGY BREAK MARCH 2000);AUSHRPRCF;aAUSHRPRCF/C;2/1/1971;8/31/2020;1971;Aug 2020;Economics;Australia;S&P Dow Jones Indices;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Australia, Standard and Poor's / ASX 200 (Methodology Break March 2000), Index, 1979DEC31 = 500;Active
DAX SHARE PRICE INDEX, EP;BDSHRPRCF;aDESHRPRCF;9/1/1959;8/31/2020;1959;Aug 2020;Economics;Germany;Deutsche Boerse;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Germany, Deutsche Boerse, DAX 30, Index, Total Return, End of Period, 1987DEC30 = 1000;Active
BRVM 10 INDEX;BESHRPRCF;aBJSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Benin;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Benin, BRVM, Top Ten Index;Active
BRUSSELS STOCK EXCHANGE CASH MARKET RETURN INDEX (EP);BGSHRPRCF;aBESHRPRCF;12/1/1979;7/31/2020;1979;Jul 2020;Economics;Belgium;Euronext Brussels;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Belgium, BXS, All Share Index, Total Return, End of Period;Active
BOVESPA SHARE PRICE INDEX (EP);BRSHRPRCF;aBRSHRPRCF;1/1/1982;8/31/2020;1982;Aug 2020;Economics;Brazil;BM&FBOVESPA;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Brazil, Sao Paulo SE, Bovespa Index (Ibovespa), Total Return, End of Period, 1968JAN2 = 100;Active
BANGLADESH ALL SHARE PRICE INDEX (EP);BSSHRPRCF;aBDSHRPRCF;1/1/1990;7/31/2020;1990;Jul 2020;Economics;Bangladesh;Securities Consultants Ltd., Bangladesh;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Bangladesh, Bangladesh All Share Price Index (EP), Index;Active
STOCK PRICE INDEX: COLCAP;CBSHRPRCF;aCOSHRPRCF;1/1/2008;8/31/2020;2008;Aug 2020;Economics;Colombia;Bolsa De Valores de Colombia;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Colombia, Colcap Index, End of Period;Active
SHANGHAI SE COMPOSITE INDEX - CLOSE;CHSHRPRCF;aCNSHRPRCF;1/1/1997;7/31/2020;1997;Jul 2020;Economics;China (Mainland);National Bureau of Statistics of China;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;China, Shanghai SE Composite Index - Close, Index;Active
S&P/TSX COMPOSITE SHARE PRICE INDEX (EP);CNSHRPRCF;aCACLI300SP/CA;1/1/1957;8/31/2020;1957;Aug 2020;Economics;Canada;S&P/Toronto Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Canada, Standard and Poor's / TSX, Composite Index, Price Return, End of Period;Active
STOCK MARKET INDEX: S&P/CLX IGPA;CLSHRPRCF;aCLSHRPRCF/C;1/1/1990;8/31/2020;1990;Aug 2020;Economics;Chile;S&P Dow Jones Indices;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Chile, Stock Market Index, Standard and Poor's / CLX Igpa, Index, 1980DEC30 = 100;Active
STOCK EXCHANGE SHARE INDEX - CROBEX;CTSHRPRCF;aHRSHRPRCF/C;1/1/1997;7/31/2020;1997;Jul 2020;Economics;Croatia;Zagreb Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Croatia, Stock Exchange Share Index, Crobex, Index, 1997JUL1 = 1000;Active
PX-50 SHARE PRICE INDEX (EP);CZSHRPRCF;aCZSHRPRCF/C;9/1/1993;8/31/2020;1993;Aug 2020;Economics;Czech Republic;Prague Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Czech Republic, Share Price Index, PX-50, Index, 1994APR5 = 1000;Active
DATASTREAM EURO SHARE PRICE INDEX (MONTHLY AVERAGE) (DISC.);EMSHRPRCF;-;1/1/1973;9/30/2019;1973;Sep 2019;Economics;Euro Zone;Datastream;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2019;Euro Zone, Discontinued, Datastream Euro Share Price Index (Monthly Average), Index, 1973M1 = 100;Dead
EGX 30 BENCHMARK INDEX (EP);EYSHRPRCF;aEGSHRPRCF/C;1/1/1998;8/31/2020;1998;Aug 2020;Economics;Egypt;Egyptian Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Egypt, EGX, EGX 30 Benchmark, Index, 1998JAN1 = 1000;Active
MADRID S.E - GENERAL INDEX;ESSHRPRCF;aESSHRPRCF/C;1/1/1950;8/31/2020;1950;Aug 2020;Economics;Spain;Ministry of the Economy and Finance, Spain;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Spain, Madrid S E - General Index, Index, 1985DEC31 = 100;Active
HELSINKI STOCK EXCHANGE ALL SHARES PRICE INDEX (EP) (DISC.);FNSHRPRCF;aFISHRPRCF.1D;1/1/1957;2/28/2019;1957;Feb 2019;Economics;Finland;Refinitiv;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2019;Finland, Discontinued, OMX - Helsinki Stock Exchange, OMXH Index, Price Return, End of Period;Dead
SHARE PRICE INDEX - SBF 250;FRSHRPRCF;aFRSHRPRCF/C;1/1/1955;8/31/2020;1955;Aug 2020;Economics;France;Main Economic Indicators,copyright OECD;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;France, Share Price Index - SBF 250, Index, 2000 = 100;Active
GSE COMPOSITE INDEX;GHSHRPRCF;aGHSHRPRCF/C;1/1/2011;8/31/2020;2011;Aug 2020;Economics;Ghana;Ghana Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Ghana, Ghana SE, Composite Index, 2010DEC31 = 1000;Active
ATHENS STOCK EXCHANGE GENERAL SHARE PRICE INDEX (EP);GRSHRPRCF;-;1/1/1985;8/31/2020;1985;Aug 2020;Economics;Greece;Athens Exchange;Monthly;Price index, not seasonally adjusted;International Sources;Historical;2020;Greece, Athens Stock Exchange General Share Price Index (EP), Index, 1980DEC31 = 100;Active
BRVM 10 INDEX;GISHRPRCF;aGWSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Guinea-Bissau;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Guinea-Bissau, BRVM, Top Ten Index;Active
HANG SENG SHARE PRICE INDEX (EP);HKSHRPRCF;aHKSHRPRCF/C;7/1/1964;8/31/2020;1964;Aug 2020;Economics;Hong Kong;Hang Seng Bank;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Hong Kong, Hang Seng Share Price Index, Index, 1964JUL31 = 100;Active
BUX SHARE PRICE INDEX (EP);HNSHRPRCF;aHUSHRPRCF/C;1/1/1991;8/31/2020;1991;Aug 2020;Economics;Hungary;Budapest Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Hungary, BUX Share Price Index (EP), Index, 1991JAN2 = 1000;Active
SE ICEX ALL SHARE PRICE INDEX (EP) (DISC.);ICSHRPRCF;aISSHRPRCF.1D;12/1/1992;2/28/2019;1992;Feb 2019;Economics;Iceland;Datastream;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2019;Iceland, Discontinued, SE Icex All Share Price Index (EP), Index;Dead
SHARE PRICE INDEX: S&P BSE 100 (EP);INSHRPRCF;aINSHRPRCF;1/1/1987;8/31/2020;1987;Aug 2020;Economics;India;S&P Dow Jones Indices/BSE Ltd;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;India, Share Price Index, Standard and Poor's BSE 100, Index, 1983-84 = 58;Active
JAKARTA STOCK EXCHANGE COMPOSITE (EP);IDSHRPRCF;aIDSHRPRCF;12/1/1989;9/30/2020;1989;*Sep 2020;Economics;Indonesia;Refinitiv;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Indonesia, Jakarta SE, Composite Index, End of Period;Active
TEHERAN STOCK EXCHANGE PRICE INDEX (TEPIX)(1369SH=100);IASHRPRCF;aIRSHRPRCF/C;3/1/2007;6/30/2020;2007;Jun 2020;Economics;Iran;Central Bank of Iran;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Iran, Islamic Republic of, Tehran SE, Tepix (1369SH = 100), Index, 1990 = 100;Active
PRICE INDEX: ORDINARY STOCKS & SHARES;IRSHRPRCF;aIESHRPRCF;1/1/1957;8/31/2020;1957;Aug 2020;Economics;Ireland;Euronext;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Ireland, Irish SE, Iseq Index, Price Return, End of Period, Index, 1988JAN4 = 1000;Active
TEL AVIV STOCK EXCHANGE GENERAL PRICE INDEX;ISSHRPRCF;aILSHRPRCF/C;4/1/1992;8/31/2020;1992;Aug 2020;Economics;Israel;Central Bureau of Statistics, Israel;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Israel, Telephony Aviv Stock Exchange General Price Index, Index, 1991 = 100;Active
MILAN COMIT GENERAL SHARE PRICE INDEX (EP);ITSHRPRCF;aITSHRPRCF/C;1/1/1969;7/31/2020;1969;Jul 2020;Economics;Italy;Intesa Sanpaolo (COMIT);Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Italy, Milan COMIT General Share Price Index (EP), Index, 1972 = 100;Active
BRVM 10 INDEX;IVSHRPRCF;aCISHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Ivory Coast / Cote d'Ivoire;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Cote d'Ivoire, BRVM, Top Ten Index;Active
TOKYO STOCK EXCHANGE - TOPIX (EP);JPSHRPRCF;aJPSHRPRCF;1/1/1955;8/31/2020;1955;Aug 2020;Economics;Japan;JPX - Japan Exchange Group;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Japan, Tokyo SE, TOPIX Index, Price Return, End of Period, 1968JAN4 = 100;Active
NAIROBI S.E. INDEX (EP);KNSHRPRCF;aKESHRPRCF/C;1/1/1990;8/31/2020;1990;Aug 2020;Economics;Kenya;Nairobi Securities Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Kenya, Nairobi S E Index (EP), Index, 2007DEC24 = 100;Active
KOSPI STOCK PRICE INDEX (EP);KOSHRPRCF;aKRSHRPRCF;12/1/1974;8/31/2020;1974;Aug 2020;Economics;South Korea;Korea Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;South Korea, KSE, Korea Composite Stock Price Index Index, End of Period, 1980JAN4 = 100;Active
KASE SHARES INDEX (EP);KZSHRPRCF;aKZSHRPRCF;7/1/2000;8/31/2020;2000;Aug 2020;Economics;Kazakhstan;Kazakhstan Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Kazakhstan, Kase Shares Index (EP), Index;Active
COLOMBO ALL SHARE PRICE INDEX (EP);LKSHRPRCF;aLKSHRPRCF;1/1/1985;8/31/2020;1985;Aug 2020;Economics;Sri Lanka;Colombo Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Sri Lanka, Colombo SE, All Share Index, End of Period, 1985JAN2 = 100;Active
LITHUANIAN STOCK PRICE INDEX (EP) (DISC.);LNSHRPRCF;aLTSHRPRCF.1D;12/1/1999;2/28/2019;1999;Feb 2019;Economics;Lithuania;Refinitiv;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2019;Lithuania, Discontinued, Lithuanian Stock Price Index (EP), Index;Dead
MALTA STOCK EXCHANGE INDEX;MASHRPRCF;aMTSHRPRCF/C;10/1/1995;12/31/2019;1995;*Q1 2020;Economics;Malta;Malta Stock Exchange;Quarterly;Price index, not seasonally adjusted;National Sources;Historical;2019;Malta, Malta Stock Exchange Index, Index, 1995DEC27 = 1000;Active
CFG 25 STOCK PRICE INDEX (EP);MCSHRPRCF;aMASHRPRCF/C;12/1/1987;8/31/2020;1987;Aug 2020;Economics;Morocco;Casablanca Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Morocco, CFG 25 Stock Price Index (EP), Index, 1987M12 = 100;Active
MALAWI STOCK EXCHANGE: ALL SHARE INDEX;MISHRPRCF;aMWSHRPRCF/C;8/1/2008;6/30/2020;2008;Jun 2020;Economics;Malawi;Reserve Bank of Malawi;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Malawi, Malawi Stock Exchange, All Share Index, 1999 = 100;Active
BRVM 10 INDEX;MLSHRPRCF;aMLSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Mali;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Mali, BRVM, Top Ten Index;Active
MAURITIUS SE SEMDEX INDEX;MUSHRPRCF;aMUSHRPRCF/C;7/1/1989;8/31/2020;1989;Aug 2020;Economics;Mauritius;Stock Exchange of Mauritius;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Mauritius, SE of Mauritius, Semdex Index, 1989JUL5 = 100;Active
SHARE PRICE INDEX OR IPC;MXSHRPRCF;aMXSHRPRCF;1/1/1981;8/31/2020;1981;Aug 2020;Economics;Mexico;Bolsa Mexicana de Valores;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Mexico, Mxse, Indice de Precios de Consumo General Index, End of Period;Active
FTSE BURSA MALAYSIA KLCI - PRICE CLOSE (EP);MYSHRPRCF;aMYSHRPRCF;1/1/1980;8/31/2020;1980;Aug 2020;Economics;Malaysia;Bursa Malaysia;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Malaysia, Financial Times Stock Exchange Bursa Malaysia KLCI, End of Period, 1977JAN1 = 100;Active
NIGERIAN S.E. - 30 STOCK PRICE INDEX (EP);NGSHRPRCF;aNGSHRPRCF;12/1/2009;8/31/2020;2009;Aug 2020;Economics;Nigeria;Nigeria Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Nigeria, Nigeria SE, Nigerian Stock Exchange, NSE 30 Index, Index;Active
AMSTERDAM SE ALL SHARE STOCK PRICE INDEX (EP);NLSHRPRCF;aNLSHRPRCF/C;12/1/1964;8/31/2020;1964;Aug 2020;Economics;Netherlands;Euronext Amsterdam N.V.;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Netherlands, Amsterdam SE All Share Stock Price Index (EP), Index, 1983JAN3 = 45.58;Active
BRVM 10 INDEX;NRSHRPRCF;aNESHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Niger;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Niger, BRVM, Top Ten Index;Active
OSLO STOCK EXCHANGE BENCHMARK INDEX;NWSHRPRCF;aNOSHRPRCF/C;12/1/1995;7/31/2020;1995;Jul 2020;Economics;Norway;Oslo Bors;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Norway, Oslo Stock Exchange Benchmark Index, Index, 1995DEC31 = 100;Active
S&P NEW ZEALAND STOCK EXCHANGE ALL SHARE PRICE INDEX (EP);NZSHRPRCF;aNZSHRPRCF;6/1/1986;8/31/2020;1986;Aug 2020;Economics;New Zealand;S&P/New Zealand Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;New Zealand, Standard and Poor's / NZX All Capital Index, Index, 1986JUL1 = 1000;Active
STOCK MARKET COMPOSITE INDEX - TOTAL;PHSHRPRCF;aPHSHRPRCF;1/1/2005;6/30/2020;2005;Jun 2020;Economics;Philippines;Bangko Sentral ng Pilipinas;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Philippines, Stock Market Composite Index - Total, Index;Active
WARSAW GENERAL SHARE PRICE INDEX (EP);POSHRPRCF;aPLSHRPRCF;4/1/1991;8/31/2020;1991;Aug 2020;Economics;Poland;Warsaw Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Poland, Warsaw General Share Price Index (EP), Index, 1991APR16 = 1000;Active
PSI GENERAL STOCK PRICE INDEX (EP);PTSHRPRCF;aPTSHRPRCF;1/1/1988;8/31/2020;1988;Aug 2020;Economics;Portugal;Euronext Lisbon;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Portugal, Lisbon SE, PSI General Index, End of Period, 1988JAN5 = 1000;Active
BET INDEX;RMSHRPRCF;aROSHRPRCF;9/1/1997;7/31/2020;1997;Jul 2020;Economics;Romania;Bucharest Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Romania, Bet Index, Index, 1997SEP19 = 1000;Active
MOEX SHARE PRICE INDEX;RSSHRPRCF;aRUSHRPRCF;9/1/1997;8/31/2020;1997;Aug 2020;Economics;Russia;Moscow Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Russia, Micex, Composite Index, End of Period, 1997SEP22 = 100;Active
RSE SHARE INDEX (EP);RWSHRPRCF;aRWSHRPRCF;2/1/2013;8/31/2020;2013;Aug 2020;Economics;Rwanda;Refinitiv;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Rwanda, RSE Share Index, End of Period;Active
DATASTREAM TOTAL MARKET STOCK PRICE INDEX (MONTHLY AVERAGE) (DISC.);SASHRPRCF;-;1/1/1973;9/30/2019;1973;Sep 2019;Economics;South Africa;Datastream;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2019;South Africa, Discontinued, Datastream Total Market Stock Price Index (Monthly Average), Index, 1973JAN1 = 100;Dead
BRVM 10 INDEX;SGSHRPRCF;aSNSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Senegal;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Senegal, BRVM, Top Ten Index;Active
STOCK PRICE INDEX (DISC.);SISHRPRCF;aSASHRPRCF;1/1/1998;9/30/2018;1998;Sep 2018;Economics;Saudi Arabia;SAMA - Saudi Arabian Monetary Agency;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2018;Saudi Arabia, Discontinued, Stock Price Index, Index, 1999 = 1000;Dead
SAX SHARE PRICE INDEX (EP);SXSHRPRCF;aSKSHRPRCF;8/1/1993;8/31/2020;1993;Aug 2020;Economics;Slovakia;Bratislava Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Slovak Republic, Bratislava SE, SAX Index, End of Period, 1993SEP14 = 100;Active
SPI SHARE PRICE INDEX (EP);SWSHRPRCF;aCHSHRPRCF/C;9/1/1987;7/31/2020;1987;Jul 2020;Economics;Switzerland;SNB - Swiss National Bank;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Switzerland, SPI Share Price Index (EP), Index, 1987JUN1 = 1000;Active
ISE NATIONAL 100 SHARE PRICE INDEX;TKSHRPRCF;aTRSHRPRCF/C;1/1/1988;8/31/2020;1988;Aug 2020;Economics;Turkey;Istanbul Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Turkey, ISE National 100 Share Price Index, Index, 1986JAN1 = 100;Active
BANGKOK STOCK EXCHANGE PRICE INDEX (EP);THSHRPRCF;aTHSHRPRCF;4/1/1975;8/31/2020;1975;Aug 2020;Economics;Thailand;Thailand SE;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Thailand, Set, Set Index, End of Period, 1975APR30 = 100;Active
DSE ALL SHARE INDEX;TNSHRPRCF;aTZSHRPRCF;12/1/2006;8/31/2020;2006;Aug 2020;Economics;Tanzania;Dar es Salaam Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Tanzania, United Republic of, DSE All Share Index;Active
BRVM 10 INDEX;TOSHRPRCF;aTGSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Togo;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Togo, BRVM, Top Ten Index;Active
TSE TUNINDEX;TUSHRPRCF;aTNSHRPRCF;12/1/1997;8/31/2020;1997;Aug 2020;Economics;Tunisia;Tunis Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Tunisia, Tunindex, 1997DEC31 = 1000;Active
TAIWAN STOCK EXCHANGE WEIGHTED TAIEX PRICE INDEX (EP);TWSHRPRCF;aTWSHRPRCF;1/1/1967;8/31/2020;1967;Aug 2020;Economics;Taiwan;Taiwan Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Taiwan, TAIEX, Weighted Index, End of Period, 1966JAN1 = 100;Active
UGANDA SE ALL SHARE INDEX;UGSHRPRCF;aUGSHRPRCF/C;8/1/2004;7/31/2020;2004;Aug 2020;Economics;Uganda;Uganda Securities Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Uganda, Uganda Securities Exchange, All Share Index, 2001DEC31 = 100;Active
FT ALL SHARE INDEX (EP);UKSHRPRCF;aGBSHRPRCF;4/1/1962;8/31/2020;1962;Aug 2020;Economics;United Kingdom;FTSE International Limited;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;United Kingdom, Financial Times Stock Exchange, All-Share, Index, Price Return, End of Period, 1962APR10 = 100;Active
PFTS INDEX (EP);URSHRPRCF;aUASHRPRCF;10/1/1997;8/31/2020;1997;Aug 2020;Economics;Ukraine;PFTS Ukraine Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Ukraine, PFTS Index (EP), Index;Active
DOW JONES INDUSTRIALS SHARE PRICE INDEX (EP);USSHRPRCF;aUSSHRPRCF;1/1/1950;8/31/2020;1950;Aug 2020;Economics;United States;S&P Dow Jones Indices;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;United States, Dow Jones, Averages, Industrial Index, Price Return, End of Period;Active
BRVM 10 INDEX;UVSHRPRCF;aBFSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Burkina Faso;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Burkina Faso, BRVM, Top Ten Index;Active
NSX LOCAL INDEX;WASHRPRCF;aNASHRPRCF;7/1/2002;8/31/2020;2002;Aug 2020;Economics;Namibia;Namibian Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Namibia, Namibia SE, Local Index;Active
LUSAKA SE ALL SHARE INDEX;ZMSHRPRCF;aZMSHRPRCF/C;1/1/1997;8/31/2020;1997;Aug 2020;Economics;Zambia;Lusaka Securities Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Zambia, Lusaka SE, All Share Index, 1997JAN2 = 100;Active
